user_create_time,email,assigned_id
2017-11-20 18:53:27.742862,pes@g.com,93a63
2017-11-20 18:58:39.938308,p@g.com,14b4d
2017-11-20 22:24:44.886019,r@p.com,ab231
2017-11-20 22:49:29.955584,p@g.co,5d41b
2017-11-21 00:28:55.339100,,22ee9
2017-11-21 01:24:10.784520,g@p.com,58f36
2017-11-21 02:03:12.648865,1,1da21
2017-11-21 03:05:39.713423,p@g,39832
2017-11-21 03:08:54.678007,dsa,70635
2017-11-21 03:09:17.173805,ds,9f604
2017-11-21 03:10:20.949863,dsfdsf,0c7a7
2017-11-21 03:11:55.203723,dsacs,ac90b
2017-11-21 03:14:10.361880,ddw,71ca6
2017-11-21 03:19:14.926350,pdd,bb89c
2017-11-21 03:25:36.583484,gtr,7f889
2017-11-21 03:26:26.403020,f,24169
2017-11-21 03:26:31.512759,r,cada8
2017-11-21 03:28:42.358276,bb,d5c1f
2017-11-21 03:30:17.479578,g,9dbe7
2017-11-21 03:30:19.185459,User 9dbe7 logged out.User 9dbe7 logged out.,a5988
2017-11-21 03:32:42.124036,df,f26f8
2017-11-21 03:32:42.991170,User f26f8 logged out.User f26f8 logged out.,9b689
2017-11-21 03:33:16.814312,User f26f8 logged out.,7b609
2017-11-21 03:38:22.182720,User 14b4d logged out.,456f6
2017-11-21 03:47:11.997159,4,20c3d
2017-11-21 03:52:54.522671,2,2a538
2017-11-21 03:52:56.326780,User 2a538 logged out.,ca4bf
2017-11-21 04:01:15.827926,User Unknown logged out.User Unknown logged out.,9ae56
2017-11-21 04:05:09.105369,User Unknown logged out.User Unknown logged out.User Unknown logged out.,e52e9
2017-11-21 20:56:12.485338,1@gmail.com,06fc9
2017-11-21 21:00:51.047960,2@gmail.com,75c80
